"Name","City","County","Veg Type","HappyCow Status","HappyCow Address","HappyCow Phone","HappyCow Website","HappyCow URL","Review Count","Place ID","Verified Address","Lat","Lng","Google Status","Google Website","Google Name"
"Aisha's Plant","Miami","Miami / Dade County","Vegan","Open","1951 NW 7th Ave Suite 190 A, Miami, Florida, USA, 33136","+1-786-636-6967","https://order.online/store/-36499660/?delivery=true&hideModal=true&utm_source=gfo&rwg_token=ACgRB3cyLaIQinsQjFhgYANTdczWiBXif1C1Y98O2ojLjjURTjZYXfHJj3qWlZqd4eTjckWpGgkat1ycov2fhWQGhOmXzLnnWw%3D%3D","https://www.happycow.net/reviews/aishas-plant-based-eatery-miami-493117","18","ChIJy7v6TsK32YgRt2RbNOq-y7Q","1951 NW 7th Ave Ste 190 A, Miami, FL 33136, USA","25.7946858","-80.2065243","OPERATIONAL","https://aishasplantbasedeatery.com/","Aisha's Plant-Based Eatery"
"The Cocinita","Miami","Miami / Dade County","Vegan","Open","75 SE 5th St, Miami, Florida, USA, 33131","+1-786-630-3437","https://www.thecocinitamiami.getsauce.com/","https://www.happycow.net/reviews/the-cocinita-miami-164351","263","ChIJIZJaC0i32YgRO6gq4S48Pbc","70 SE 5th St Ste 107, Miami, FL 33131, USA","25.768522599999997","-80.1909458","OPERATIONAL","https://order.toasttab.com/online/the-cocinita-miami-by-dr-simon-food-llc-70-se-5th-st","The Cocinita"
"Vegan and Juice","Miami","Miami / Dade County","Vegan","Open","10887 NW 17th St, Miami, Florida, USA, 33172","+1-305-220-3430","https://leafletjs.com/","https://www.happycow.net/reviews/vegan-and-juice-miami-8244","33","ChIJB-ZjYCq_2YgRpe89PaZ7YUI","10887 NW 17th St #112, Doral, FL 33172, USA","25.7902317","-80.3723697","OPERATIONAL","https://vegannaturaljuice.iposeats.net/","Vegan and Juice"
"107 Taste","Miami","Miami / Dade County","Vegan","Open","1679 Southwest 107th Avenue, Miami (at 107th ave and 16th st.), Miami, Florida, USA, 33165","+1-786-717-6378","https://leafletjs.com/","https://www.happycow.net/reviews/107-taste-miami-120799","7","ChIJ43QC2zGl2YgRkbZoHCIKQMQ","6705 Main St, Miami Lakes, FL 33014, USA","25.913307399999997","-80.3096183","OPERATIONAL","http://www.107taste.com/","107 Taste Asian Restaurant Miami Lakes"
"3 Chef's Chinese Restaurant","Miami","Miami / Dade County","Vegan","Open","1800 Biscayne Blvd (at downtown), Miami, Florida, USA, 33132","+1-305-373-2688","http://3chefs-mia.com/","https://www.happycow.net/reviews/3-chefs-chinese-restaurant-miami-55787","4","ChIJc7gjW6i22YgR5yrp3LoviMs","275 NE 18th St, Miami, FL 33132, USA","25.794047499999998","-80.18933729999999","OPERATIONAL","http://www.3chefs-mia.com/","3 Chefs"
"Aroma Espresso Bar","Miami","Miami / Dade County","Vegan","Open","71 Northeast 16th St, Miami, Florida, USA, 33132","+1-786-206-1036","http://www.aroma.us/","https://www.happycow.net/reviews/aroma-espresso-bar-miami-273615","10","ChIJWVVV_RO32YgRhcl9oTC5ZfA","71 NE 16th St, Miami, FL 33132, USA","25.7907387","-80.1929007","CLOSED_TEMPORARILY","https://www.aromaespressobarmiami.com/","Aroma Espresso Bar"
"B & M Market","Miami","Miami / Dade County","Vegan","Open","219 Northeast 79th Street, Miami, Florida, USA, 33138","+1-305-757-2889","http://www.bmmarketmiami.com/","https://www.happycow.net/reviews/b-m-market-miami-469649","1","ChIJ9ZlVHnmx2YgRIhh-NLFLt5w","219 NE 79th St, Miami, FL 33138, USA","25.847749099999998","-80.19241170000001","OPERATIONAL","http://www.bmmarketmiami.com/","B & M Market"
"Morgan's","Miami","Miami / Dade County","Vegan","Open","28 NE 29th St, Miami, Florida, USA, 33132","+1-305-573-9678","https://www.themorgansrestaurant.com/","https://www.happycow.net/reviews/morgans-miami-273012","6","ChIJs9n3tay22YgRnqDY58bG-SU","2800 NW 7th Ave, Miami, FL 33127, USA","25.802781","-80.207531","OPERATIONAL","https://www.themorgansrestaurant.com/","Morgans Restaurant"
"Moshi Moshi","Miami","Miami / Dade County","Vegan","Open","7232 Biscayne Blvd, Miami, Florida, USA, 33138","+1-305-751-2114","https://moshimoshi.fun/","https://www.happycow.net/reviews/moshi-moshi-miami-247538","1","ChIJnwaj_taz2YgRd3ddXoqN0ao","7232 Biscayne Blvd, Miami, FL 33138, USA","25.8417727","-80.1846095","OPERATIONAL","https://www.moshimoshi.fun/","Moshi Moshi MiMo"
"NU real food","Miami","Miami / Dade County","Vegan","Open","3252 Buena Vista Boulevard, Miami, Florida, USA, 33137","+1-954-393-0095","https://www.nurealfood.com/","https://www.happycow.net/reviews/nu-real-food-miami-478893","1","ChIJFdsfUgCx2YgRtDMLHjav0I8","3252 Buena Vista Blvd, Miami, FL 33137, USA","25.8072828","-80.1936605","OPERATIONAL","https://www.nurealfood.com/","NU real food"
