"Name","City (HappyCow)","County","Veg Type","Status","Address","Phone","Website","HappyCow URL","Review Count","Description","In App","App Name"
"Aisha's Plant","Miami","Miami / Dade County","Vegan","Open","1951 NW 7th Ave Suite 190 A, Miami, Florida, USA, 33136","+1-786-636-6967","https://order.online/store/-36499660/?delivery=true&hideModal=true&utm_source=gfo&rwg_token=ACgRB3cyLaIQinsQjFhgYANTdczWiBXif1C1Y98O2ojLjjURTjZYXfHJj3qWlZqd4eTjckWpGgkat1ycov2fhWQGhOmXzLnnWw%3D%3D","https://www.happycow.net/reviews/aishas-plant-based-eatery-miami-493117","18","Reviews of vegan restaurant Aisha's Plant-Based Eatery in Miami, Florida, USA 'The restaurant is located in House Of Mac. My boyfriend and I went for the first time on a Sunday night. Paid parking is on 7th Ave at Converge Miami. When you'","No",""
"Aguacate Garden of Love","Miami","Miami / Dade County","Vegan","Open","12100 SW 43rd St, Miami, Florida, USA, 33175","+1-786-531-7385","https://www.doordash.com/store/aguacate-garden-of-love-miami-42727323/?","https://www.happycow.net/reviews/aguacate-garden-of-love-miami-505079","53","Reviews of vegan restaurant Aguacate Garden of Love in Miami, Florida, USA 'If you are looking for somewhere to enjoy fresh air, delicious food & to love on animals…this is your place!'","Yes","Aguacate"
"Jajaja Mexicana","Miami","Miami / Dade County","Vegan","Closed","2775 NW 3rd Ave, Wynwood, Miami, Florida, USA, 33127","+1-786-803-8070","https://www.ubereats.com/store/jajaja-mexicana-wynwood/DV3nKXgFWXCG24eNn03omg?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas","https://www.happycow.net/reviews/jajaja-mexicana-miami-490999","85","Reviews of vegan restaurant Jajaja Mexicana in Miami, Florida, USA 'ugh i wish i could have tried everything! lowkey its expensive bc its miami but wow i loved this burrito! and the vibes are amazing inside'","Yes","Jajaja Mexicana"
"Joseph's Organic Bakery","Miami","Miami / Dade County","Vegan","Closed","18228 W Dixie Hwy, Miami, Florida, USA, 33160","+1-954-541-4062","http://www.organicbakerymiami.com/","https://www.happycow.net/reviews/josephs-organic-bakery-miami-83653","15","Reviews of vegan restaurant Joseph's Organic Bakery in Miami, Florida, USA 'I dropped in to check the place out and they were very busy, I assume handling bulk orders, and didn’t have anything other than loaves of bread to sell. Even if'","No",""
"Love Life Cafe","Miami","Miami / Dade County","Vegan","Open","2616 NW 5th Ave, Miami, Florida, USA","+1-305-456-4118","https://www.lovelifecafe.com/","https://www.happycow.net/reviews/love-life-cafe-miami-65465","442","Reviews of vegan restaurant Love Life Cafe in Miami, Florida, USA 'Love Life Cafe is one of our absolute favorite places to eat locally. Finding restaurants with great options in FL for an entire picky family of gluten-free vegans is rare,'","Yes","Love Life Cafe"
"Pacha Roots","Miami","Miami / Dade County","Vegan","Closed","3300 Grand Ave (at Coconut Grove Saturday Organic Farmers Market), Miami, Florida, USA, 33133","+1-786-475-8083","http://linktr.ee/pacha.roots","https://www.happycow.net/reviews/pacha-roots-miami-337073","42","Reviews of vegan restaurant Pacha Roots in Miami, Florida, USA 'Homemade food and healthier choices. My mother who is not vegan is still raving about her burger a week later. Irak is the awesome owner. FYI there is a 10$ fee to get in on the'","No",""
"The Cocinita","Miami","Miami / Dade County","Vegan","Open","75 SE 5th St, Miami, Florida, USA, 33131","+1-786-630-3437","https://www.thecocinitamiami.getsauce.com/","https://www.happycow.net/reviews/the-cocinita-miami-164351","263","Reviews of vegan restaurant The Cocinita in Miami, Florida, USA 'The best burger Ive ever had 🙌💚💯 loved it! '","No",""
"The Plantisserie","Miami","Miami / Dade County","Vegan","Open","7316 NE 2nd Ave, Miami, Florida, USA, 33138","+1-786-502-3363","http://www.theplantisserie.com/","https://www.happycow.net/reviews/the-plantisserie-miami-159204","123","Reviews of vegan restaurant The Plantisserie in Miami, Florida, USA 'The food was okay. '","Yes","Plantisserie"
"The Vegan Marie","Miami","Miami / Dade County","Vegan","Closed","274 NW 54th St, Miami, Florida, USA, 33127","+1-786-308-9785","http://theveganmarie.net/","https://www.happycow.net/reviews/the-vegan-marie-miami-304222","15","Reviews of vegan restaurant The Vegan Marie in Miami, Florida, USA 'It took over an hour to get my food. They also only had two of their menu options available. Expensive but large portions at least. The food was okay and all freshly made'","No",""
"Treelion","Miami","Miami / Dade County","Vegan","Unknown","18400 NW Second Ave, Miami, Florida, USA, 33169","+1-305-690-7777","https://3treelion.com/","https://www.happycow.net/reviews/treelion-miami-459751","","Vegan restaurant Treelion in Miami, Florida, USA has not been reviewed yet. Consider sharing your experience with Happycow's vegan & vegetarian community by writing the first review!","Yes","Treelion"
